age,state,education_level,employment_type,employment_stability_months,monthly_income,monthly_rent,monthly_cashflow,rent_payment_consistency,utility_payment_consistency,phone_payment_consistency,insurance_payment_consistency,num_subscriptions,subscription_payment_consistency,minimum_bank_balance,monthly_savings,savings_goal_completion_rate,p2p_monthly_volume,risky_p2p_ratio,monthly_overdrafts,credit_score,loan_approval
18,VA,high_school,full_time,20,7396,3698,3055,0.502,0.49,0.6,0.508,1,0.503,2056,447,0.206,103,0.229,0,582,Yes
19,NC,some_college,full_time,17,7496,2528,4335,0.59,0.559,0.6,0.5,6,0.946,1553,725,0.628,899,0.149,1,601,No
21,NY,bachelors,full_time,19,5953,2976,2860,0.553,0.53,0.6,0.673,0,0.58,832,628,0.539,272,0.136,1,604,No
23,PA,graduate,full_time,27,7137,3568,2977,0.544,0.426,0.6,0.5,2,0.672,733,807,0.273,849,0.203,0,596,Yes
22,GA,graduate,full_time,29,7490,2838,4016,0.747,0.816,0.857,0.588,4,0.883,2043,1399,0.546,878,0.16,1,651,Yes
20,GA,some_college,full_time,11,6272,3136,2352,0.548,0.519,0.6,0.5,2,0.713,1400,288,0.0,417,0.257,0,560,No
18,MI,high_school,full_time,33,7588,3794,3463,0.544,0.503,0.6,0.587,6,0.623,2117,503,0.0,658,0.164,0,585,Yes
25,FL,bachelors,self_employed,10,6989,3494,3018,0.539,0.4,0.6,0.5,2,0.666,1735,574,0.548,541,0.281,0,579,No
19,NY,high_school,self_employed,25,6034,3017,2319,0.735,0.858,0.799,0.596,7,0.963,693,548,0.379,485,0.397,0,582,No
24,VA,bachelors,self_employed,11,7754,3534,3143,0.679,0.745,0.838,0.5,7,0.71,2219,710,0.165,613,0.182,1,589,Yes
21,IL,high_school,self_employed,18,7128,3564,3087,0.675,0.678,0.6,0.657,6,0.7,1099,450,0.088,223,0.278,1,565,No
22,NC,bachelors,self_employed,22,6742,3371,3171,0.721,0.622,0.68,0.913,3,0.646,1536,1063,0.538,136,0.181,1,613,Yes
21,VA,high_school,self_employed,13,7689,2975,3767,0.753,0.895,0.797,0.641,8,0.632,974,1222,0.526,117,0.288,1,591,No
20,WA,high_school,self_employed,25,6548,2564,2931,0.878,0.805,0.795,0.969,7,0.61,1006,719,0.675,770,0.219,0,617,Yes
25,MA,some_college,self_employed,8,5883,2941,2632,0.574,0.683,0.72,0.5,7,0.972,800,448,0.227,181,0.345,0,565,No
21,IN,high_school,self_employed,10,7363,3681,3587,0.555,0.63,0.684,0.5,1,0.689,766,1099,0.771,89,0.14,1,575,No
18,TX,bachelors,self_employed,5,5538,2769,2406,0.581,0.575,0.601,0.5,7,0.908,894,528,0.286,556,0.308,0,534,No
22,PA,graduate,self_employed,5,5920,2960,2465,0.5,0.418,0.6,0.5,6,0.574,1367,385,0.54,393,0.306,1,529,No
19,WI,high_school,unemployed,1,6654,3327,3458,0.633,0.592,0.625,0.683,0,0.802,902,804,0.525,870,0.145,0,534,No
19,NC,bachelors,unemployed,1,6610,3305,3334,0.824,0.888,0.932,0.95,0,0.931,1953,981,0.377,151,0.217,0,574,No
24,TX,some_college,unemployed,0,8476,3640,4103,0.629,0.517,0.606,0.582,5,0.747,1663,1408,0.747,682,0.141,1,537,No
25,WA,some_college,unemployed,0,7681,3840,3193,0.533,0.598,0.6,0.702,3,0.852,1129,321,0.498,17,0.209,0,530,No
23,MA,bachelors,unemployed,1,6978,3070,3025,0.558,0.664,0.71,0.506,3,0.914,775,406,0.546,720,0.143,1,535,No
19,CA,some_college,unemployed,1,7453,3726,2855,0.559,0.451,0.6,0.547,0,0.785,1958,392,0.084,761,0.142,1,557,No
25,FL,bachelors,unemployed,1,8141,2554,5473,0.562,0.677,0.743,0.646,2,0.752,831,1686,0.724,930,0.266,0,544,No
20,PA,graduate,unemployed,1,6613,2876,3204,0.797,0.767,0.763,0.928,6,0.592,1647,768,0.685,836,0.308,0,564,No
23,NC,some_college,unemployed,0,8148,4074,3059,0.543,0.417,0.6,0.599,3,0.641,1697,355,0.291,774,0.373,0,538,No
22,MD,high_school,unemployed,1,5848,2924,2497,0.895,0.89,0.853,0.985,1,0.972,594,472,0.248,407,0.25,1,554,No
19,IN,high_school,gig,1,11214,817,9794,0.973,0.868,0.814,1.0,0,0.645,1826,2603,0.763,191,0.386,0,583,No
20,MA,bachelors,gig,4,12609,928,11251,0.964,0.916,1.0,1.0,6,0.52,3822,3608,0.485,1250,0.282,0,594,No
18,MO,bachelors,gig,1,9668,1184,8205,0.997,1.0,0.918,1.0,1,0.727,1618,1837,0.189,1180,0.209,0,595,Yes
25,PA,graduate,gig,4,10597,1181,8257,1.0,1.0,1.0,1.0,5,0.93,2386,3007,0.979,264,0.232,0,644,No
24,NY,bachelors,gig,3,12644,860,11550,0.898,0.941,0.886,0.966,8,0.504,4277,2571,0.24,817,0.356,0,586,No
25,FL,graduate,gig,0,13763,947,12496,0.684,0.754,0.802,0.596,6,0.6,2851,2865,0.757,995,0.164,0,595,Yes
20,NJ,some_college,gig,2,12349,549,10774,0.877,1.0,1.0,0.778,5,0.895,4564,2190,0.234,46,0.386,0,575,No
20,TX,graduate,gig,2,9067,680,7795,0.769,0.833,0.926,0.635,3,0.835,1721,2787,0.471,1846,0.229,0,578,No
24,AZ,some_college,gig,5,12445,886,11303,0.792,0.85,0.814,0.889,0,0.78,4336,2256,0.533,1184,0.285,0,581,No
23,PA,graduate,gig,0,8616,554,7215,0.85,0.795,0.889,0.664,8,0.861,3205,2783,0.986,1299,0.235,0,613,No
21,WI,some_college,gig,5,11942,1113,10929,0.801,0.755,0.795,1.0,0,0.685,2578,2464,0.335,1677,0.36,0,579,No
23,IN,graduate,gig,3,11385,955,10019,1.0,0.951,0.988,1.0,6,0.687,2996,1910,0.343,583,0.354,0,611,No
19,WI,high_school,part_time,7,9350,491,7704,1.0,0.881,0.872,0.846,7,0.752,3052,2441,0.845,433,0.167,0,636,No
19,WA,graduate,part_time,7,11372,875,10087,0.653,0.615,0.6,0.5,4,0.634,3294,2288,0.695,1862,0.224,0,599,No
23,NJ,bachelors,part_time,11,12751,1159,10699,0.718,0.74,0.726,0.674,8,0.987,2208,3328,0.819,1641,0.38,0,626,No
24,AZ,some_college,part_time,6,11106,929,9864,0.742,0.805,0.737,0.624,1,0.816,3565,3558,0.798,532,0.351,0,614,Yes
24,CA,some_college,part_time,4,8594,1043,7356,0.897,0.91,0.858,0.816,6,0.513,2651,2911,0.872,1592,0.207,0,619,Yes
21,NC,graduate,part_time,5,14449,1198,13046,0.914,0.846,0.775,1.0,0,0.819,3898,2294,0.327,1220,0.137,0,620,Yes
25,FL,graduate,part_time,1,11460,612,10571,0.846,0.703,0.639,1.0,1,0.605,2635,3936,0.825,923,0.343,0,616,Yes
18,TN,bachelors,part_time,4,9460,751,8166,1.0,1.0,1.0,1.0,8,0.871,3373,1618,0.114,47,0.255,0,608,Yes
21,GA,some_college,part_time,7,8741,735,7451,0.683,0.741,0.803,0.688,4,0.741,3175,1766,0.505,602,0.24,0,616,No
21,NC,some_college,part_time,2,10548,577,9121,1.0,0.881,0.845,1.0,3,0.977,2604,3381,0.696,1530,0.182,0,632,No
23,MA,high_school,full_time,29,11563,1047,9552,0.717,0.577,0.6,0.646,6,0.647,3835,2973,0.902,721,0.219,0,636,Yes
23,VA,some_college,full_time,16,10509,474,9219,0.799,0.883,0.895,0.712,5,0.844,3196,1875,0.447,658,0.37,0,645,Yes
21,WI,bachelors,full_time,12,9343,974,8180,1.0,1.0,1.0,0.968,6,0.841,2184,2890,0.526,101,0.341,0,668,Yes
20,GA,graduate,full_time,4,13426,734,11407,0.881,0.816,0.784,0.708,7,0.642,4503,2859,0.739,1880,0.258,0,616,No
24,NJ,bachelors,full_time,7,14424,708,13240,0.951,0.922,1.0,1.0,5,0.747,1972,2973,0.74,1010,0.355,0,672,Yes
19,CA,high_school,full_time,31,8739,629,7195,0.705,0.854,0.94,0.526,2,0.544,2674,2540,0.896,1100,0.397,0,629,Yes
18,TX,bachelors,full_time,32,9407,449,8146,0.755,0.812,0.889,0.721,2,0.962,2548,1466,0.252,303,0.326,0,637,Yes
19,MD,some_college,full_time,24,12774,940,11176,0.841,0.838,0.787,0.935,7,0.613,2439,2504,0.198,1143,0.351,0,632,No
19,OH,high_school,full_time,26,9115,906,7307,0.655,0.57,0.659,0.637,7,0.552,1614,2174,0.612,1758,0.194,0,607,Yes
19,WA,bachelors,full_time,18,9565,624,7923,1.0,1.0,0.92,1.0,6,0.594,1860,1513,0.266,1781,0.273,0,659,No
21,NC,some_college,full_time,5,8635,871,6961,0.661,0.71,0.712,0.638,4,0.559,2267,1660,0.304,812,0.251,0,586,No
18,OH,graduate,full_time,5,13813,791,12582,0.768,0.738,0.649,0.798,7,0.759,2103,2044,0.174,227,0.166,0,595,Yes
19,WA,graduate,self_employed,18,10756,631,9658,0.807,0.723,0.642,0.97,3,0.586,1891,2986,0.742,589,0.32,0,624,No
22,NJ,some_college,self_employed,7,14135,644,13372,0.923,0.823,0.899,0.994,7,0.571,1811,3592,0.438,363,0.392,0,615,Yes
23,TN,high_school,self_employed,5,12381,997,11476,0.999,0.991,1.0,0.921,0,0.784,4613,4118,0.733,342,0.326,0,612,No
25,MO,bachelors,self_employed,21,12519,1152,10763,0.753,0.749,0.829,0.747,0,0.914,2507,2512,0.478,1359,0.357,0,626,No
18,PA,some_college,self_employed,22,9711,820,8358,0.793,0.652,0.607,0.864,6,0.68,3021,1658,0.67,1308,0.132,0,614,No
25,VA,bachelors,self_employed,20,12816,579,12077,1.0,0.967,1.0,1.0,4,0.655,1733,3381,0.466,1254,0.137,0,666,Yes
22,PA,graduate,self_employed,20,9402,408,8636,0.837,0.732,0.675,0.686,8,0.832,1888,1917,0.624,31,0.236,0,627,Yes
18,NY,high_school,self_employed,15,12025,760,11079,0.751,0.706,0.752,0.785,8,0.833,3814,2091,0.129,554,0.143,0,588,Yes
21,GA,bachelors,self_employed,20,8763,884,7155,0.975,1.0,0.964,0.83,1,0.947,3111,2141,0.403,892,0.304,0,644,Yes
22,MI,some_college,self_employed,23,9611,826,8171,0.772,0.711,0.712,0.857,2,0.688,3305,2118,0.302,905,0.308,0,603,No
24,MA,graduate,self_employed,11,12321,830,10450,0.661,0.679,0.759,0.5,2,0.808,2471,2201,0.429,260,0.286,0,600,No
20,MA,high_school,self_employed,17,11800,1086,10402,0.973,1.0,0.958,1.0,0,0.542,2272,4124,0.557,1217,0.129,0,645,Yes
18,MO,some_college,unemployed,0,14247,609,13626,0.946,0.945,0.885,0.746,2,0.65,2888,5413,0.498,993,0.287,0,571,No
19,OH,some_college,unemployed,1,12758,499,11496,0.691,0.549,0.618,0.82,6,0.528,1983,2887,0.792,1679,0.17,0,544,No
19,IL,high_school,unemployed,1,12041,549,10720,0.707,0.78,0.798,0.774,8,0.871,3150,2884,0.412,1367,0.13,0,554,No
19,PA,graduate,unemployed,0,12300,826,10595,0.661,0.648,0.73,0.648,0,0.79,1642,3312,0.72,910,0.113,0,557,No
22,IN,bachelors,unemployed,0,8574,562,7879,0.992,0.993,0.985,0.904,8,0.695,1206,2473,0.539,1472,0.269,0,591,No
22,WA,graduate,unemployed,1,11727,469,10963,1.0,1.0,1.0,0.827,8,0.888,3006,1999,0.259,1956,0.274,0,594,No
20,TN,high_school,unemployed,1,10398,498,9753,1.0,0.993,0.906,0.846,3,0.553,3589,3238,0.595,1993,0.226,0,580,Yes
19,WI,bachelors,unemployed,1,12117,1181,10386,0.903,0.761,0.76,0.793,1,0.849,2658,4125,0.839,409,0.159,0,577,No
24,MD,high_school,unemployed,1,12829,596,11643,0.66,0.798,0.766,0.536,0,0.905,4468,2793,0.425,1119,0.359,0,544,No
25,WI,bachelors,unemployed,0,12602,760,11523,1.0,1.0,0.924,0.821,6,0.813,4328,3368,0.361,1059,0.189,0,598,Yes
21,VA,graduate,gig,0,10874,1714,8242,0.677,0.789,0.798,0.71,8,0.788,3678,3156,0.766,817,0.286,0,583,No
22,NJ,high_school,gig,4,13851,1261,11972,0.819,0.729,0.727,0.98,3,0.774,4272,4561,0.86,1798,0.119,0,596,No
18,WI,graduate,gig,1,11333,1344,9215,0.946,1.0,0.996,0.754,2,0.635,1534,1464,0.322,1331,0.205,0,595,No
21,CA,graduate,gig,2,12876,2445,10057,0.871,0.737,0.817,0.748,2,0.715,2983,1854,0.332,1837,0.285,0,587,No
18,MD,high_school,gig,2,10451,1675,8108,0.654,0.628,0.616,0.5,0,0.995,1345,2675,0.847,156,0.117,0,542,No
21,TN,graduate,gig,2,10895,1465,8908,0.913,0.96,1.0,1.0,8,0.603,3282,3147,0.945,1758,0.166,0,629,No
21,MO,bachelors,gig,0,12815,1747,10670,0.851,0.718,0.728,0.8,7,0.64,2254,1966,0.654,472,0.191,0,591,Yes
20,MA,graduate,gig,3,8793,1681,6654,1.0,0.856,0.855,0.954,4,0.794,1759,2603,0.518,1750,0.283,0,594,Yes
21,MO,graduate,gig,4,11607,1577,9557,0.671,0.612,0.674,0.558,5,0.969,4091,3236,0.579,1696,0.372,0,562,No
24,MO,high_school,gig,1,12002,1316,10571,0.805,0.872,0.865,0.658,8,0.732,3218,3087,0.595,332,0.388,0,576,No
22,NJ,bachelors,part_time,5,9200,1711,6879,0.878,0.74,0.772,1.0,4,0.83,2949,2425,0.77,254,0.192,0,621,Yes
18,NY,graduate,part_time,5,12103,1218,9839,1.0,0.994,0.982,1.0,6,0.529,4353,2155,0.504,643,0.386,0,615,Yes
25,PA,some_college,part_time,12,9542,1665,7056,0.998,1.0,0.912,1.0,0,0.592,2401,1835,0.411,1133,0.315,0,652,No
18,WI,high_school,part_time,7,14057,1923,11369,0.744,0.627,0.6,0.894,1,0.756,2589,2631,0.386,1684,0.304,0,586,No
23,AZ,bachelors,part_time,6,13472,1937,11170,1.0,0.962,0.905,1.0,0,0.58,1834,4273,1.0,52,0.132,0,671,Yes
23,PA,high_school,part_time,12,10260,1975,8483,0.802,0.952,0.935,0.651,1,0.979,3827,2471,0.881,1290,0.264,0,633,No
18,NJ,graduate,part_time,4,13473,2167,11238,0.758,0.858,0.782,0.736,3,0.664,4375,4431,0.627,644,0.324,0,594,No
24,MO,bachelors,part_time,7,11464,1363,9525,0.852,0.977,0.926,0.922,3,0.724,2633,2784,0.781,256,0.378,0,650,Yes
22,FL,bachelors,part_time,9,10850,1899,8689,0.683,0.659,0.643,0.767,7,0.816,3452,3258,0.976,31,0.15,0,624,Yes
19,CA,graduate,part_time,6,9535,1269,7958,0.926,1.0,0.959,1.0,8,0.959,3347,1898,0.419,1140,0.172,0,643,Yes
19,VA,high_school,part_time,9,14416,1292,12722,1.0,1.0,1.0,0.834,6,0.645,3521,2336,0.177,1568,0.277,0,621,No
23,NJ,graduate,part_time,7,14020,2128,11873,0.825,0.828,0.897,0.74,1,0.616,3481,1924,0.335,1075,0.274,0,623,Yes
20,IN,graduate,full_time,12,8843,1631,6292,0.761,0.875,0.963,0.957,5,0.642,1367,1374,0.4,1813,0.151,0,633,No
21,FL,some_college,full_time,13,13959,1770,11345,0.733,0.834,0.808,0.909,0,0.98,3628,3967,0.403,1704,0.347,0,642,No
25,MI,graduate,full_time,6,12767,1458,10942,1.0,1.0,0.971,1.0,6,0.747,1873,2015,0.235,1369,0.135,0,680,Yes
19,NC,bachelors,full_time,25,11179,1520,9607,0.831,0.902,0.97,0.966,5,0.946,1504,1682,0.473,1067,0.195,0,656,Yes
18,GA,graduate,full_time,10,10514,1480,8675,0.919,0.849,0.894,0.721,2,0.867,2057,1731,0.625,1947,0.255,0,648,Yes
21,AZ,high_school,full_time,19,14316,1564,11695,0.925,0.959,0.993,1.0,5,0.742,4140,2280,0.27,474,0.363,0,661,No
23,FL,bachelors,full_time,16,12951,2185,10201,0.738,0.876,0.846,0.819,7,0.663,3763,1825,0.337,653,0.298,0,651,No
25,GA,graduate,full_time,12,12507,2430,10068,0.662,0.592,0.6,0.827,6,0.53,3976,2168,0.321,801,0.343,0,623,Yes
21,MA,bachelors,full_time,27,11283,1293,9668,0.814,0.836,0.74,0.622,3,0.89,1721,3790,0.851,264,0.281,0,660,Yes
23,NY,high_school,full_time,27,11389,2332,8314,0.857,0.816,0.759,0.757,8,0.698,3467,1850,0.242,765,0.199,0,643,Yes
19,NY,graduate,self_employed,10,12608,2014,10305,0.713,0.653,0.701,0.858,3,0.517,3939,3640,0.633,820,0.139,0,609,No
24,FL,some_college,self_employed,22,8665,1230,7388,0.944,1.0,0.953,0.975,4,0.892,2004,2481,0.553,939,0.161,0,652,No
24,MO,graduate,self_employed,9,9262,1655,6879,0.761,0.697,0.618,0.793,3,0.691,3457,2283,0.935,1562,0.264,0,616,Yes
21,MD,graduate,self_employed,17,12162,1957,10187,0.694,0.637,0.617,0.703,1,0.548,2034,3730,0.726,511,0.125,0,623,No
21,AZ,bachelors,self_employed,19,8982,2210,5955,0.775,0.726,0.785,0.775,5,0.844,2467,2190,0.597,428,0.327,0,626,No
21,IN,graduate,self_employed,16,11136,2144,9152,0.872,0.944,0.877,1.0,1,0.713,1607,1664,0.072,1064,0.324,0,633,No
24,PA,graduate,self_employed,13,12556,1549,9908,0.95,0.964,0.987,0.975,4,0.559,4695,3269,0.888,555,0.257,0,671,Yes
22,IN,bachelors,self_employed,12,12786,1618,11211,0.892,0.883,0.878,0.858,5,0.964,3900,4070,0.507,1073,0.315,0,625,Yes
19,OH,some_college,self_employed,8,8545,1838,5765,0.928,0.939,0.842,0.837,0,0.812,2338,960,0.415,462,0.203,0,615,No
24,WI,bachelors,self_employed,18,13287,1826,10741,0.957,1.0,0.925,0.992,3,0.539,2167,3573,0.533,538,0.269,0,650,No
22,OH,graduate,unemployed,1,14539,2461,11250,0.717,0.802,0.805,0.687,2,0.572,3545,1688,0.047,1986,0.116,0,555,No
22,MO,some_college,unemployed,1,12599,1440,10337,0.807,0.889,0.979,0.892,4,0.919,2573,1752,0.402,438,0.387,0,571,No
25,MO,high_school,unemployed,0,12514,1713,9944,1.0,1.0,1.0,0.953,5,0.928,3975,2351,0.427,1263,0.268,0,591,No
18,IN,bachelors,unemployed,0,10104,2105,7059,0.728,0.754,0.75,0.926,5,0.958,2533,1081,0.17,1325,0.182,0,551,No
22,TN,high_school,unemployed,0,13622,1317,11280,1.0,1.0,1.0,1.0,7,0.875,3907,3230,0.335,756,0.109,0,596,No
20,NY,high_school,unemployed,1,9178,2059,6197,0.827,0.891,0.96,0.986,8,0.639,3103,1944,0.77,681,0.351,0,575,No
23,AZ,graduate,unemployed,0,12729,1229,10931,0.985,1.0,1.0,1.0,8,0.574,2439,2111,0.113,1246,0.16,0,599,No
18,FL,bachelors,unemployed,0,11049,1760,9080,0.787,0.807,0.9,0.902,7,0.544,3916,1776,0.143,650,0.277,0,556,No
23,MI,some_college,unemployed,0,12271,1366,10775,0.985,1.0,0.945,0.894,2,0.655,2697,2389,0.311,1157,0.195,0,585,Yes
22,TX,bachelors,unemployed,0,10624,2100,8257,0.846,0.87,0.801,1.0,8,0.725,3004,2955,0.438,1709,0.276,0,577,No
22,TX,bachelors,unemployed,1,10199,1900,7854,0.855,0.769,0.733,0.919,4,0.516,1568,2470,0.441,286,0.24,0,571,No
19,IL,high_school,gig,5,13656,3969,9076,0.819,0.769,0.788,0.793,5,0.653,3300,1783,0.106,1657,0.285,0,559,No
21,TN,bachelors,gig,2,10569,4028,6383,0.921,0.861,0.864,1.0,8,0.554,2446,1387,0.481,1214,0.109,0,602,No
21,NJ,some_college,gig,2,13152,3071,9605,0.965,0.832,0.766,0.798,2,0.901,3152,1837,0.083,302,0.16,0,587,No
21,PA,some_college,gig,3,12076,2869,8129,0.924,1.0,1.0,1.0,7,0.58,1811,2336,0.511,435,0.374,0,607,No
19,PA,bachelors,gig,4,11675,3026,8499,0.81,0.758,0.702,0.681,6,0.798,3018,2011,0.575,1987,0.276,0,575,No
23,WI,high_school,gig,1,11284,4553,6613,0.89,0.859,0.795,0.804,3,0.569,1940,1341,0.367,695,0.215,0,585,No
25,IL,graduate,gig,4,8785,3569,4884,0.715,0.77,0.696,0.669,1,0.673,2707,1533,0.571,25,0.148,0,591,No
25,NY,graduate,gig,3,13856,4145,9511,0.771,0.699,0.756,0.784,7,0.751,4437,3119,0.863,1990,0.209,0,600,No
19,MD,bachelors,gig,2,9731,2528,6483,0.753,0.758,0.795,0.723,0,0.732,1313,2379,0.71,102,0.367,0,563,No
18,MI,some_college,gig,1,12946,3594,8624,0.793,0.648,0.655,0.883,0,0.798,2774,1372,0.462,509,0.153,0,561,No
24,WI,graduate,gig,3,10750,3914,6182,0.748,0.845,0.922,0.753,7,0.52,2221,986,0.385,1482,0.291,0,582,No
22,IL,high_school,part_time,4,11961,4141,7895,1.0,0.927,0.998,1.0,6,0.983,3868,2311,0.882,1260,0.254,0,638,No
25,IL,bachelors,part_time,8,10262,4289,5796,0.761,0.812,0.767,0.8,2,0.839,1982,1459,0.215,848,0.297,0,616,Yes
23,CA,some_college,part_time,6,9295,3406,5640,0.934,0.85,0.818,1.0,7,0.794,2636,1309,0.398,1142,0.104,0,642,Yes
25,WA,some_college,part_time,6,10225,4680,5250,0.752,0.612,0.6,0.733,1,0.816,2713,1240,0.297,1084,0.211,0,605,Yes
20,WI,some_college,part_time,2,13618,4895,8769,0.791,0.77,0.86,0.629,4,0.778,3373,1829,0.67,269,0.214,0,591,No
19,IL,some_college,part_time,11,13175,3685,8943,0.957,1.0,0.921,1.0,6,0.676,2364,3354,0.618,1577,0.209,0,636,No
23,GA,graduate,part_time,3,12614,4693,7039,0.994,0.992,0.985,1.0,7,0.578,4330,1759,0.202,1699,0.2,0,623,No
24,CA,some_college,part_time,1,11926,4180,6613,0.898,0.789,0.879,0.995,6,0.973,2459,1405,0.467,966,0.305,0,608,Yes
24,IL,some_college,part_time,8,13022,4594,7662,0.833,0.9,0.916,0.731,7,0.969,4627,1767,0.337,1831,0.109,0,637,No
21,WI,high_school,part_time,7,9948,4389,4946,0.985,1.0,1.0,0.813,7,0.861,1417,1667,0.784,832,0.36,0,643,Yes
22,WI,high_school,part_time,12,14365,4700,9390,0.909,0.919,0.892,1.0,7,0.914,2010,3313,0.903,1485,0.331,0,651,No
24,PA,high_school,full_time,7,14950,3008,11420,0.989,1.0,0.942,0.921,1,0.861,3238,3587,0.413,497,0.339,0,654,No
25,NC,some_college,full_time,32,14308,4513,9563,0.787,0.844,0.749,0.735,7,0.85,3821,2855,0.754,303,0.257,0,658,Yes
22,TN,bachelors,full_time,8,11012,3148,7767,0.935,0.987,1.0,0.969,2,0.573,2181,1911,0.574,57,0.355,0,667,No
24,PA,bachelors,full_time,25,12407,3197,8358,0.885,0.885,0.861,1.0,6,0.933,3055,1607,0.4,359,0.245,0,665,Yes
22,NC,some_college,full_time,29,10191,3418,6616,0.893,0.962,1.0,0.903,3,0.678,2444,2502,1.0,1720,0.324,0,679,Yes
21,FL,graduate,full_time,12,11478,2634,8433,1.0,1.0,0.95,1.0,8,0.923,2977,1432,0.518,914,0.27,0,674,Yes
21,NY,some_college,full_time,22,10370,4368,5111,1.0,0.93,0.875,1.0,3,0.867,3674,1924,0.533,620,0.118,0,673,No
19,TX,bachelors,full_time,7,12898,2709,9891,0.729,0.613,0.686,0.817,3,0.55,3512,2963,0.479,19,0.275,0,611,Yes
21,NC,high_school,full_time,12,13324,4368,8398,0.952,0.982,0.932,1.0,2,0.664,3275,1855,0.529,541,0.36,0,649,Yes
25,CA,graduate,full_time,30,9413,3246,5493,0.778,0.92,0.957,0.651,2,0.589,2966,1748,0.393,907,0.203,0,662,Yes
21,NJ,bachelors,full_time,25,10246,3758,6430,0.957,0.948,0.88,0.819,3,0.786,1676,1215,0.538,1609,0.152,0,673,Yes
24,NC,some_college,self_employed,15,14887,3603,10653,0.839,0.946,0.924,0.641,2,0.653,4565,3806,0.604,630,0.228,0,636,No
18,MA,some_college,self_employed,8,11848,3948,7206,0.957,0.813,0.86,1.0,4,0.647,2587,1660,0.635,667,0.267,0,622,Yes
22,IL,some_college,self_employed,14,9375,2804,6364,0.78,0.774,0.795,0.604,0,0.891,2086,2481,0.904,511,0.184,0,627,No
23,MA,bachelors,self_employed,19,10761,4703,6122,1.0,0.883,0.898,0.835,1,0.662,3430,1551,0.298,308,0.277,0,641,No
22,CA,bachelors,self_employed,8,13060,4675,8344,0.706,0.787,0.76,0.777,5,0.953,3088,3096,0.553,959,0.168,0,611,Yes
22,FL,some_college,self_employed,18,13444,2594,10469,0.907,0.885,0.792,1.0,0,0.916,1883,4160,0.719,1158,0.231,0,640,Yes
25,TX,bachelors,self_employed,4,10815,4854,5489,0.944,0.963,1.0,1.0,1,0.766,3511,1984,0.476,959,0.283,0,625,No
22,NJ,some_college,self_employed,14,12315,4348,7384,0.679,0.724,0.625,0.5,8,0.891,3815,2858,1.0,822,0.272,0,618,No
24,MD,some_college,self_employed,8,9732,3560,5673,0.92,0.868,0.922,0.843,3,0.885,2614,1353,0.706,1181,0.146,0,642,Yes
18,TX,bachelors,self_employed,6,14885,3021,11602,0.781,0.726,0.697,0.932,3,0.601,2468,4614,0.635,1883,0.165,0,614,Yes
19,OH,graduate,self_employed,5,11572,2604,8063,0.802,0.786,0.831,0.667,3,0.885,3153,1460,0.644,1037,0.374,0,588,No
23,OH,graduate,unemployed,0,14641,3797,9993,0.734,0.611,0.704,0.676,7,0.628,2240,2640,0.233,1645,0.226,0,551,No
19,TX,some_college,unemployed,0,12056,3731,7159,0.91,1.0,0.926,0.766,4,0.865,4211,1155,0.531,363,0.269,0,576,No
18,MI,some_college,unemployed,0,9001,4500,4069,0.799,0.773,0.858,0.611,2,0.587,2292,764,0.561,371,0.21,0,552,No
24,WI,bachelors,unemployed,0,13622,4028,8584,0.778,0.863,0.908,0.642,7,0.517,4672,3248,0.485,772,0.329,0,565,No
21,FL,high_school,unemployed,0,9254,4219,4786,1.0,0.989,1.0,0.929,8,0.72,3139,1686,0.405,975,0.241,0,594,No
19,PA,some_college,unemployed,1,12414,4518,7280,0.738,0.627,0.6,0.669,1,0.872,3777,1605,0.51,511,0.168,0,541,No
22,AZ,bachelors,unemployed,0,14725,3039,11716,0.8,0.693,0.752,0.759,6,0.816,4764,4626,0.498,1299,0.11,0,575,No
25,MD,some_college,unemployed,0,12463,3908,8027,0.812,0.96,1.0,0.714,4,0.773,1924,1764,0.601,1892,0.201,0,593,No
25,FL,graduate,unemployed,0,14824,4748,9114,0.917,0.87,0.861,0.765,1,0.891,3433,1425,0.339,193,0.168,0,589,No
20,AZ,graduate,unemployed,1,11347,3757,6560,0.871,1.0,0.903,0.882,6,0.91,3930,1821,0.34,1393,0.167,0,585,No
18,IN,some_college,unemployed,0,12867,3985,8663,0.717,0.614,0.6,0.9,3,0.922,4024,1628,0.641,1248,0.227,0,542,No
24,TN,graduate,gig,3,29761,934,27820,0.887,0.778,0.691,0.743,1,0.626,9426,7731,0.81,1255,0.278,0,602,Yes
20,IL,graduate,gig,5,27527,648,26235,0.958,0.926,0.943,0.819,5,0.535,12084,7058,0.774,252,0.318,0,604,No
22,FL,high_school,gig,5,27461,735,25781,0.908,0.916,0.966,0.845,7,0.649,5147,9944,0.744,144,0.364,0,596,No
18,MA,high_school,gig,5,21250,661,20167,0.87,0.771,0.719,0.868,4,0.612,3844,8066,0.862,1226,0.36,0,573,No
24,NC,high_school,gig,1,21908,458,21148,1.0,1.0,1.0,1.0,8,0.664,7669,5557,0.44,26,0.13,0,609,Yes
24,TN,high_school,gig,4,25905,672,24770,0.924,1.0,1.0,0.762,8,0.935,9073,5214,0.186,1716,0.338,0,583,No
21,WA,graduate,gig,0,20909,994,19637,0.987,0.849,0.836,0.874,7,0.787,6415,7854,0.988,1286,0.323,0,613,Yes
